,img_idx,age_label,age_cat,gender_label,ethnicity_label,gender,ethnicity,age,data_file
19709,data/utk_face/images/37_0_0_20170119180034627.jpg.chip.jpg,4,31-40,0,0,male,white,37,utk_face
1908,data/utk_face/images/10_0_0_20170110225557604.jpg.chip.jpg,2,7-14,0,0,male,white,10,utk_face
1622,data/utk_face/images/53_0_3_20170119205830896.jpg.chip.jpg,5,41-65,0,3,male,indian,53,utk_face
22328,data/utk_face/images/39_0_1_20170113175840205.jpg.chip.jpg,4,31-40,0,1,male,black,39,utk_face
291,data/utk_face/images/26_1_4_20170117201650134.jpg.chip.jpg,3,15-30,1,4,female,other,26,utk_face
418,data/utk_face/images/10_1_0_20170109205208368.jpg.chip.jpg,2,7-14,1,0,female,white,10,utk_face
7594,data/utk_face/images/36_0_0_20170104201153985.jpg.chip.jpg,4,31-40,0,0,male,white,36,utk_face
15868,data/utk_face/images/35_1_2_20170116191840543.jpg.chip.jpg,4,31-40,1,2,female,asian,35,utk_face
20137,data/utk_face/images/73_1_0_20170110153035158.jpg.chip.jpg,6,66-116,1,0,female,white,73,utk_face
7604,data/utk_face/images/22_1_0_20170103235726923.jpg.chip.jpg,3,15-30,1,0,female,white,22,utk_face
13927,data/utk_face/images/7_0_0_20170110215615139.jpg.chip.jpg,2,7-14,0,0,male,white,7,utk_face
8471,data/utk_face/images/8_0_2_20161219193545195.jpg.chip.jpg,2,7-14,0,2,male,asian,8,utk_face
13848,data/utk_face/images/1_0_2_20161219203122004.jpg.chip.jpg,0,0-2,0,2,male,asian,1,utk_face
17511,data/utk_face/images/34_0_0_20170116030432644.jpg.chip.jpg,4,31-40,0,0,male,white,34,utk_face
3984,data/utk_face/images/54_1_0_20170110152827859.jpg.chip.jpg,5,41-65,1,0,female,white,54,utk_face
9107,data/utk_face/images/55_0_0_20170117185648744.jpg.chip.jpg,5,41-65,0,0,male,white,55,utk_face
15441,data/utk_face/images/4_1_2_20161219190919019.jpg.chip.jpg,1,3-6,1,2,female,asian,4,utk_face
10998,data/utk_face/images/2_0_4_20170103210452250.jpg.chip.jpg,0,0-2,0,4,male,other,2,utk_face
20450,data/utk_face/images/80_1_0_20170117175421676.jpg.chip.jpg,6,66-116,1,0,female,white,80,utk_face
192,data/utk_face/images/32_0_1_20170113135924858.jpg.chip.jpg,4,31-40,0,1,male,black,32,utk_face
11052,data/utk_face/images/1_1_2_20161219222703503.jpg.chip.jpg,0,0-2,1,2,female,asian,1,utk_face
15240,data/utk_face/images/49_0_0_20170117135230645.jpg.chip.jpg,5,41-65,0,0,male,white,49,utk_face
6088,data/utk_face/images/35_0_1_20170116002219767.jpg.chip.jpg,4,31-40,0,1,male,black,35,utk_face
22924,data/utk_face/images/29_1_1_20170114031631995.jpg.chip.jpg,3,15-30,1,1,female,black,29,utk_face
22182,data/utk_face/images/40_0_1_20170113174431769.jpg.chip.jpg,4,31-40,0,1,male,black,40,utk_face
5238,data/utk_face/images/28_1_3_20170104232440417.jpg.chip.jpg,3,15-30,1,3,female,indian,28,utk_face
14205,data/utk_face/images/26_1_1_20170117200205236.jpg.chip.jpg,3,15-30,1,1,female,black,26,utk_face
7348,data/utk_face/images/50_1_0_20170110151412371.jpg.chip.jpg,5,41-65,1,0,female,white,50,utk_face
20602,data/utk_face/images/26_0_3_20170119183138486.jpg.chip.jpg,3,15-30,0,3,male,indian,26,utk_face
19315,data/utk_face/images/30_1_4_20170117203004549.jpg.chip.jpg,3,15-30,1,4,female,other,30,utk_face
9360,data/utk_face/images/14_1_1_20170116235127595.jpg.chip.jpg,2,7-14,1,1,female,black,14,utk_face
21977,data/utk_face/images/62_0_0_20170111171747595.jpg.chip.jpg,5,41-65,0,0,male,white,62,utk_face
19540,data/utk_face/images/26_1_0_20170117201635534.jpg.chip.jpg,3,15-30,1,0,female,white,26,utk_face
19438,data/utk_face/images/35_0_3_20170117154729846.jpg.chip.jpg,4,31-40,0,3,male,indian,35,utk_face
6423,data/utk_face/images/1_0_0_20170109193647852.jpg.chip.jpg,0,0-2,0,0,male,white,1,utk_face
21759,data/utk_face/images/48_0_0_20170105172432012.jpg.chip.jpg,5,41-65,0,0,male,white,48,utk_face
19871,data/utk_face/images/34_1_1_20170114033230436.jpg.chip.jpg,4,31-40,1,1,female,black,34,utk_face
4092,data/utk_face/images/16_0_0_20170110232142982.jpg.chip.jpg,3,15-30,0,0,male,white,16,utk_face
20543,data/utk_face/images/3_1_0_20170109191351622.jpg.chip.jpg,1,3-6,1,0,female,white,3,utk_face
2535,data/utk_face/images/31_0_2_20170115231427920.jpg.chip.jpg,4,31-40,0,2,male,asian,31,utk_face
12373,data/utk_face/images/29_1_1_20170116195846538.jpg.chip.jpg,3,15-30,1,1,female,black,29,utk_face
3338,data/utk_face/images/45_0_1_20170113173605450.jpg.chip.jpg,5,41-65,0,1,male,black,45,utk_face
2043,data/utk_face/images/27_0_0_20170116204851886.jpg.chip.jpg,3,15-30,0,0,male,white,27,utk_face
20708,data/utk_face/images/27_0_1_20170117010749619.jpg.chip.jpg,3,15-30,0,1,male,black,27,utk_face
21138,data/utk_face/images/65_0_1_20170117191610001.jpg.chip.jpg,5,41-65,0,1,male,black,65,utk_face
148,data/utk_face/images/58_1_1_20170120133757255.jpg.chip.jpg,5,41-65,1,1,female,black,58,utk_face
